order_id,customer_id,created_at,fulfilled_at,store_id,subtotal,tax,fee,status
1,1482,2/26/2022 4:10,2/26/2022 5:02,12,3788,189.4,37.88,failed
2,1157,6/27/2022 9:47,6/27/2022 11:11,18,7271,363.55,72.71,paid
3,1410,10/7/2021 15:55,10/7/2021 16:57,5,2915,145.75,29.15,paid
4,1289,11/2/2022 3:11,11/2/2022 3:47,20,4354,217.7,43.54,paid
5,1675,10/24/2022 6:58,10/24/2022 7:04,4,179,8.95,1.79,failed
6,1285,1/20/2022 1:45,1/20/2022 2:37,7,771,38.55,7.71,failed
7,1688,3/29/2022 15:41,3/29/2022 16:52,14,3912,195.6,39.12,paid
8,1542,1/19/2021 15:37,1/19/2021 15:43,4,8670,433.5,86.7,paid
9,1638,2/8/2022 17:07,2/8/2022 18:35,14,9803,490.15,98.03,paid
10,1108,9/11/2021 0:08,9/11/2021 0:36,8,1215,60.75,12.15,paid
11,1267,7/3/2021 15:35,7/3/2021 16:36,20,4140,207,41.4,paid
12,1526,8/8/2022 20:50,8/8/2022 22:31,19,5021,251.05,50.21,paid
13,1460,6/17/2022 5:21,6/17/2022 6:08,11,4194,209.7,41.94,paid
14,1375,5/8/2022 16:08,5/8/2022 16:38,6,4351,217.55,43.51,paid
15,1000,1/23/2022 14:58,1/23/2022 16:12,4,8797,439.85,87.97,paid
16,1413,7/11/2021 1:49,7/11/2021 2:27,16,8847,442.35,88.47,paid
17,1666,4/13/2021 21:52,4/13/2021 22:32,9,781,39.05,7.81,paid
18,1942,7/24/2021 16:49,7/24/2021 18:01,9,9158,457.9,91.58,failed
19,1519,5/6/2021 16:58,5/6/2021 17:19,6,2690,134.5,26.9,paid
20,1529,8/19/2022 11:10,8/19/2022 12:08,13,9504,475.2,95.04,failed
21,1532,8/18/2021 13:18,8/18/2021 14:53,22,248,12.4,2.48,paid
22,1181,3/15/2022 22:30,3/15/2022 23:20,16,8539,426.95,85.39,paid
23,1575,8/25/2021 8:51,8/25/2021 9:19,24,6842,342.1,68.42,paid
24,1899,4/7/2022 14:48,4/7/2022 16:38,11,4223,211.15,42.23,paid
25,1743,10/5/2021 7:46,10/5/2021 9:07,9,8405,420.25,84.05,failed
26,1344,3/2/2022 4:51,3/2/2022 5:18,4,8932,446.6,89.32,paid
27,1994,8/26/2022 12:28,8/26/2022 13:15,13,4193,209.65,41.93,failed
28,1215,1/13/2022 3:09,1/13/2022 4:11,19,8177,408.85,81.77,paid
29,1268,9/29/2021 5:15,9/29/2021 6:21,19,1492,74.6,14.92,paid
30,1446,9/30/2021 17:54,9/30/2021 18:21,1,9107,455.35,91.07,paid
